Position,Age,Prof,Det,Amb,Mins,Av Rat,Imp M,Pres,Cons,Ada,Inj Pr,WR,CA,PA,Training facilities,Div Rep,FCA
AM (RLC),35.931553730321696,20,20,20,3169,7.0,19,15,14,17,10,6300,138,165,18,173,134
"DM, M (C)",37.22655715263518,10,17,12,2759,6.73,8,11,12,11,13,2550,101,104,10,73,90
"DM, M (C)",34.33538672142368,12,12,10,2973,6.99,11,12,15,15,14,2750,105,140,13,87,94
GK,36.47638603696099,12,15,14,240,6.75,12,13,15,17,10,5250,135,150,16,178,128
GK,38.11362080766598,13,6,12,2655,6.78,7,12,13,8,12,2900,98,103,15,73,87
"DM, M/AM (C)",39.19780971937029,16,11,12,3299,7.11,15,10,15,10,6,3750,115,120,10,87,104
ST (C),34.521560574948666,9,6,9,1318,6.76,14,14,12,9,6,2000,90,130,8,91,78
"DM, M (C)",36.276522929500345,15,15,12,2106,6.82,12,10,12,14,9,1250,85,100,5,91,74
D (C),35.063655030800824,16,16,15,54,6.7,14,13,12,15,10,5500,125,155,14,178,114
"D (RC), WB (R), DM",36.15058179329227,15,15,12,2246,6.87,9,12,11,10,4,1500,95,105,9,91,84
ST (C),35.19780971937029,10,12,8,1466,6.8,13,13,9,13,15,3000,57,124,9,46,55
"AM (C), ST (C)",56.34770704996578,20,17,15,0,0.0,16,18,14,17,4,700,69,158,10,104,55
"DM, M (C)",34.46406570841889,14,14,12,2014,6.73,14,13,9,12,4,2750,85,137,9,72,75
GK,40.446269678302535,18,15,15,2460,6.74,10,13,10,11,13,3000,83,120,10,86,73
GK,42.888432580424364,16,14,11,2160,6.88,13,11,13,12,10,2650,108,132,12,86,96
GK,42.27241615331965,20,19,19,0,0.0,18,15,15,13,12,3750,110,130,12,173,99
GK,41.86447638603696,12,13,12,463,6.78,14,13,14,14,11,1600,67,126,12,85,56
"M (C), ST (C)",42.37371663244353,14,12,7,0,0.0,12,10,11,8,7,600,55,62,11,85,45
"DM, M (C)",33.39082819986311,14,16,17,1855,6.62,12,13,12,12,14,2250,111,120,15,134,106
D (LC),33.13347022587269,13,13,13,1168,6.81,11,10,13,10,17,3000,83,120,7,85,73
ST (C),34.06981519507187,19,15,10,2685,6.86,11,16,13,13,5,3000,97,120,6,85,97
M/AM (RL),35.90417522245038,16,12,6,2097,6.72,12,11,12,15,11,2400,89,110,7,85,78
ST (C),32.889801505817935,14,14,11,69,6.55,12,9,8,5,14,2500,81,115,7,72,73
D (LC),33.779603011635864,16,14,12,3356,6.74,13,11,16,12,8,6000,140,143,11,185,134
GK,38.691307323750856,8,11,12,0,0.0,12,12,12,11,18,2000,70,135,16,85,58
D (C),35.49623545516769,15,15,14,970,6.71,14,14,17,11,16,6000,139,155,17,185,129
GK,37.80698151950719,12,13,10,90,6.5,12,3,14,16,4,1000,50,80,2,46,39
GK,37.17453798767967,15,13,11,0,0.0,15,12,15,12,9,3500,82,130,9,72,71
ST (C),36.884325804243666,12,16,17,0,0.0,12,9,10,8,6,3000,94,135,15,107,83
GK,36.43805612594114,13,13,13,0,0.0,12,11,11,13,7,5000,110,138,13,185,103
GK,33.399041752224505,13,12,10,360,6.92,11,11,11,12,3,4000,107,134,13,134,100
"D (RC), WB (R)",35.50992470910335,18,14,14,3122,6.74,12,12,13,14,19,2850,102,128,20,107,96
"DM, M (C)",31.463381245722108,14,9,8,3120,6.94,14,14,8,12,6,3500,100,125,10,85,94
GK,34.36824093086927,12,12,10,0,0.0,10,8,11,10,12,2000,90,120,18,134,85
"AM (RL), ST (C)",34.27241615331965,12,10,11,510,7.01,12,12,10,9,9,3500,97,140,11,107,86
D (C),34.2943189596167,16,11,11,2462,6.7,12,8,12,6,10,1250,81,87,7,72,73
"AM (R), ST (C)",33.2621492128679,9,13,17,1462,6.51,14,13,9,14,5,3750,108,127,12,107,96
"DM, M (RLC)",33.80971937029432,10,15,10,169,6.78,11,10,9,11,5,1950,104,110,12,96,94
GK,41.451060917180016,11,8,6,0,0.0,10,5,9,4,8,850,50,75,5,46,39
D (C),39.644079397672826,13,15,13,460,6.6,11,12,12,9,6,1000,50,75,10,46,39
"D/WB (RL), DM, M (C)",37.492128678986994,20,19,17,1837,6.78,15,17,14,18,14,6250,141,157,18,185,132
GK,32.87337440109514,17,14,13,3780,6.9,8,13,12,7,8,5600,145,145,18,185,142
ST (C),31.57015742642026,16,15,11,51,6.6,13,15,11,15,9,5500,130,138,13,185,130
GK,40.26283367556468,11,9,11,0,0.0,8,12,8,7,5,400,35,59,3,46,24
GK,37.828884325804246,15,13,15,0,0.0,13,8,12,13,8,4750,118,148,20,185,107
"DM, M (C)",37.50034223134839,5,13,11,3432,7.11,12,6,9,7,15,1800,81,110,12,46,68
"D/WB (L), DM, M (LC)",34.770704996577685,15,10,16,3525,6.85,12,10,11,13,8,2250,94,120,15,85,86
GK,37.01300479123888,17,14,8,3690,6.8,14,12,17,10,6,2500,66,111,3,46,58
GK,37.215605749486656,17,13,10,0,0.0,16,11,14,13,6,5750,126,150,17,185,116
GK,38.562628336755644,14,12,13,0,0.0,12,9,10,11,4,2100,55,110,10,85,43
"DM, M (C)",32.85420944558521,7,18,17,3544,6.82,16,14,16,11,7,1750,89,105,7,85,89
"DM, M (C)",38.195756331279945,18,14,14,2863,6.73,12,14,15,12,6,3000,96,125,9,107,86
D (C),36.89253935660506,15,15,12,817,6.66,14,13,13,12,11,3000,93,132,8,85,82
D (C),35.87132101300479,13,17,10,2108,6.83,14,13,10,12,6,3250,83,86,7,72,72
GK,37.69199178644764,10,10,9,90,6.8,8,9,10,4,5,1650,68,109,11,72,57
D (C),37.99315537303217,18,12,13,2174,6.64,13,14,10,11,15,2400,95,120,15,85,85
D (LC),37.464750171115675,16,8,12,4140,6.83,11,14,11,3,10,2500,79,121,9,46,68
D (C),38.299794661190965,20,17,16,2481,6.62,16,13,14,13,14,3500,98,140,8,107,89
GK,37.782340862423,16,14,14,1526,6.94,12,13,10,15,11,3500,85,136,7,72,74
D/WB/M (RL),37.98220396988364,20,14,13,489,6.59,15,12,13,16,5,5600,130,156,18,185,116
"DM, M (C)",36.511978097193705,11,12,16,0,0.0,13,16,11,12,14,4000,96,143,17,185,85
"AM (C), ST (C)",35.592060232717316,14,14,13,3459,6.75,10,11,12,10,13,4500,116,135,10,85,108
D (C),36.936344969199176,17,18,9,3013,6.58,11,8,12,18,10,2200,64,64,3,46,55
GK,36.6570841889117,10,15,17,3240,6.79,12,15,12,14,4,6000,140,150,18,147,132
D (LC),39.123887748117724,16,18,12,3638,6.75,16,13,16,10,11,2750,97,120,11,85,88
WB/M/AM (RL),35.30732375085558,10,10,9,412,6.8,12,10,8,5,12,1800,75,115,11,72,64
GK,35.49075975359343,12,12,12,4140,6.8,12,8,13,10,2,2250,93,115,8,85,90
"D (RC), WB (R)",36.558521560574945,15,14,11,90,6.7,9,13,13,12,17,3000,106,125,10,134,95
"D (L), M (C)",36.498288843258045,12,13,12,915,6.87,10,10,14,12,12,1900,80,103,11,85,69
GK,36.29568788501027,18,12,12,0,0.0,14,10,12,10,7,1750,70,112,13,107,68
D (C),36.36413415468857,11,16,10,255,6.63,13,12,12,11,8,2500,114,124,15,134,103
GK,37.05681040383299,16,15,12,1215,6.76,12,11,9,10,3,2250,90,120,10,85,80
GK,38.05612594113621,14,14,7,630,6.97,5,12,13,12,5,2500,76,88,9,85,66
D (RC),36.747433264887064,19,18,13,1504,6.62,10,11,12,15,10,3500,87,135,6,85,80
GK,35.61670088980151,10,14,11,180,6.75,9,15,9,7,6,3000,114,128,18,134,106
DM,36.07939767282683,10,13,7,3442,6.72,12,12,14,11,4,2250,75,113,4,46,63
GK,36.780287474332646,15,14,12,0,0.0,13,8,12,9,5,2250,88,115,12,85,80
GK,35.09924709103354,14,15,11,0,0.0,12,12,11,6,6,2500,86,118,17,107,81
GK,36.68993839835729,18,17,13,4230,6.96,13,15,14,1,5,4000,117,145,13,134,116
GK,36.035592060232716,16,17,13,4500,6.62,13,14,14,16,4,5500,119,150,14,134,117
"DM, M (C)",36.709103353867214,18,15,15,750,6.67,13,12,10,14,3,2500,87,115,6,85,80
GK,41.040383299110196,15,13,13,3960,6.72,13,15,15,8,5,1000,68,75,4,46,57
D/WB (R),35.62217659137577,5,15,15,284,6.38,11,8,12,12,14,2500,68,120,11,72,56
"WB (R), DM, M (C)",35.115674195756334,16,14,13,3941,6.92,15,12,15,8,5,3750,123,142,18,134,116
ST (C),34.65845311430527,12,14,12,455,6.62,12,12,11,9,8,3750,105,130,11,107,97
M/AM (C),35.605749486652975,17,14,14,3224,6.99,9,14,10,9,9,1200,62,72,10,46,59
GK,34.729637234770706,18,15,15,3420,6.69,15,16,14,13,4,2000,99,99,13,85,95
