UID,Club,Position,Age,DoB,Prof,Det,Amb,Mins,Av Rat,Imp M,Pres,Cons,Ada,Inj Pr,WR,CA,PA,Training facilities,Div Rep,FCA
215501,Oldham Athletic,"DM, M (C)",26,12/9/1996 (26 years old),9,17,11,3401,6.93,8,9,9,17,7,1750,80,90,10,72,80
215502,Northampton,"DM, M/AM (C)",25,1/2/1998 (25 years old),11,12,8,472,6.58,8,11,8,7,17,1750,82,102,10,107,82
215508,Gateshead,ST (C),26,30/6/1997 (26 years old),12,3,8,1675,6.93,7,10,8,20,5,1400,85,100,9,72,85
215665,FC Twente,M/AM (C),26,2/6/1997 (26 years old),14,14,14,2618,7.15,12,10,12,12,6,5000,127,130,15,160,127
216444,RKC Waalwijk,D/WB (R),29,23/12/1993 (29 years old),13,10,13,548,6.69,12,13,13,18,5,3500,104,109,11,160,104
219032,Andorra,"DM, M (C)",22,7/8/2000 (22 years old),15,14,13,3761,6.86,15,14,14,8,14,3900,118,140,12,116,121
219036,Melilla,"AM (LC), ST (C)",24,20/12/1998 (24 years old),12,12,12,3238,6.88,8,13,10,14,6,2550,101,122,8,87,103
220904,Carlisle,"DM, M (LC), AM (C)",21,2/10/2001 (21 years old),11,10,12,2290,6.66,8,8,10,11,3,1750,88,110,10,107,88
222138,Plymouth,WB/M/AM (L),21,8/10/2001 (21 years old),14,14,13,3294,7.02,10,12,12,13,5,3400,121,130,9,134,122
222292,Peterborough,"D/WB (L), M/AM (C)",21,12/1/2002 (21 years old),13,13,12,3855,6.97,9,11,11,12,5,2750,114,136,8,107,117
222724,Leeds Utd,"AM (C), ST (C)",21,4/5/2002 (21 years old),14,15,14,118,6.60,9,14,10,10,6,3750,113,145,18,134,113
222726,Stockport County,GK,21,20/11/2001 (21 years old),12,14,8,0,0.00,17,14,9,11,9,1000,65,75,13,85,65
222731,Wigan,"M (C), AM (LC)",21,2/5/2002 (21 years old),11,10,12,2501,6.79,11,13,7,13,8,2350,101,126,11,107,104
222733,Blackpool,"AM (RL), ST (C)",21,10/9/2001 (21 years old),15,19,10,2122,6.85,11,9,10,11,5,1700,105,130,5,107,110
222823,Banbury United,D (C),21,18/5/2002 (21 years old),15,14,9,1523,6.83,7,10,8,10,5,400,57,89,2,46,64
223133,Cheltenham,"DM, M (C)",23,23/3/2000 (23 years old),12,9,10,2358,6.60,12,9,10,15,4,2250,90,115,8,107,95
225123,QPR,"AM (RL), ST (C)",20,30/4/2003 (20 years old),10,13,15,15,6.60,10,14,7,20,5,1250,84,93,14,134,84
250420,Swansea,D/WB (R),21,12/3/2002 (21 years old),11,5,9,180,6.45,7,9,12,17,10,1000,75,90,14,134,75
253310,Melilla,D (C),22,4/4/2001 (22 years old),12,5,10,44,6.60,2,10,8,20,8,1550,81,109,8,87,81
253311,Barcelona Atlètic,"D (RC), WB (R)",20,19/5/2003 (20 years old),14,14,14,1652,6.97,12,12,12,12,10,3000,110,131,19,87,112
253313,Cacereño,AM (C),22,22/6/2001 (22 years old),13,6,12,794,6.87,8,10,6,7,6,1450,79,104,8,73,80
253315,Ponferradina,"D (C), DM, M/AM (C)",22,28/6/2001 (22 years old),9,2,11,316,6.64,4,15,11,14,11,2300,96,115,10,87,96
300030,Morecambe,"AM (RC), ST (C)",23,23/9/1999 (23 years old),11,12,13,1528,6.68,5,10,7,7,4,2500,85,118,9,85,88
309147,Porto,D (C),40,26/2/1983 (40 years old),20,18,18,3591,6.98,18,17,16,16,14,7000,154,165,16,158,137
316742,Nice,D (C),39,18/10/1983 (39 years old),18,19,15,3420,6.88,18,18,14,16,7,5000,135,160,17,161,122
528888,KVK Tienen,GK,24,1/4/1999 (24 years old),12,9,11,2813,6.81,13,11,17,20,8,1000,78,87,8,85,78
535549,KSC Lokeren-Temse,AM (RL),27,29/12/1995 (27 years old),7,12,9,1881,6.94,4,5,10,4,7,1250,86,86,13,85,85
539816,Patro Eisden,D (C),36,13/2/1987 (36 years old),16,15,13,2594,7.09,10,8,14,7,7,2750,106,115,12,96,98
653054,Real Madrid,M/AM (C),37,9/9/1985 (37 years old),20,17,15,2418,7.04,16,17,15,10,11,7850,171,180,18,178,154
687249,Iraklis,GK,36,4/4/1987 (36 years old),15,12,13,2790,6.78,12,14,12,18,7,1500,95,125,8,91,91
689225,OFI,GK,35,13/9/1987 (35 years old),15,13,14,0,0.00,13,10,12,19,7,2000,95,105,11,130,90
690943,Kozani,"D (C), DM",37,20/11/1985 (37 years old),16,15,16,1471,6.62,15,15,13,12,7,1500,90,115,4,91,80
697531,Makedonikos,D/WB (RL),35,14/1/1988 (35 years old),16,15,14,2545,6.63,14,14,14,14,7,1500,95,110,5,91,85
717397,União de Leiria,GK,39,16/4/1984 (39 years old),16,14,12,3540,6.80,10,13,12,8,8,2550,106,128,14,104,96
718036,Millwall,GK,35,6/7/1987 (35 years old),15,13,13,1204,6.83,14,10,13,12,6,3750,106,134,13,134,103
718272,West Ham,GK,38,18/4/1985 (38 years old),18,15,14,810,6.63,15,10,15,16,10,6250,135,154,14,185,124
719601,Barcelona,ST (C),34,21/8/1988 (34 years old),18,18,18,3758,6.97,15,16,15,15,2,8600,178,190,19,178,172
721435,FC Twente,GK,36,4/1/1987 (36 years old),13,14,17,480,6.55,15,17,9,15,5,4250,116,135,15,160,109
726052,Valadares Gaia,M/AM (LC),37,10/2/1986 (37 years old),15,16,15,2959,7.08,10,9,13,11,5,1750,90,120,8,86,79
727376,Ponferradina,"AM (L), ST (C)",40,8/8/1982 (40 years old),16,15,15,2256,7.13,7,13,15,14,8,3300,106,125,10,87,96
727458,Chaves,D (C),36,12/11/1986 (36 years old),16,16,14,2079,6.67,12,13,14,13,6,3950,119,125,13,158,111
733711,Oriental Lisboa,M/AM (C),40,4/7/1982 (40 years old),12,13,13,2421,6.89,13,17,12,12,8,2500,96,110,12,86,83
735968,Real,GK,42,24/3/1981 (42 years old),8,7,8,0,0.00,6,9,5,9,6,600,60,70,13,86,48
742448,Braga,D (C),39,22/12/1983 (39 years old),14,13,16,1443,6.75,14,14,16,12,11,5850,137,146,18,158,118
743487,Beira-Mar,"DM, M (C)",36,29/5/1987 (36 years old),13,14,12,1220,6.95,4,13,14,15,17,1650,88,93,15,86,77
743807,Florgrade,"DM, M (C)",39,16/6/1984 (39 years old),13,17,12,2581,6.86,10,12,11,12,13,1750,90,95,8,86,80
744217,AVS SAD,GK,35,4/1/1988 (35 years old),13,17,14,3510,6.86,8,8,7,11,5,3400,118,126,12,104,114
744255,Varzim,GK,40,6/7/1982 (40 years old),16,10,15,2430,6.87,10,11,12,11,11,2150,98,124,12,94,87
744536,Pisa,"DM, M (C)",37,11/5/1986 (37 years old),19,17,16,2993,6.99,13,17,15,14,8,5600,121,157,11,120,111
744539,Braga,"DM, M/AM (C)",36,8/9/1986 (36 years old),17,16,17,3046,6.96,16,16,17,13,8,6000,140,154,18,158,129
744574,PAOK,D/WB/M (RL),37,24/1/1986 (37 years old),16,16,12,2007,6.70,13,15,13,15,16,3000,115,150,14,130,104
744577,Sporting Covilhã,GK,36,4/2/1987 (36 years old),16,12,13,270,6.93,8,6,11,10,5,1750,82,90,12,94,75
744592,Académica Coimbra,"AM (RL), ST (C)",36,19/1/1987 (36 years old),12,14,17,34,6.60,9,12,9,9,8,1950,91,102,15,94,78
744601,Sporting Covilhã,"DM, M (C)",36,26/3/1987 (36 years old),17,16,13,2939,7.18,15,15,16,12,5,2750,105,113,12,94,97
744617,Belenenses,"AM (RLC), ST (C)",36,7/1/1987 (36 years old),11,12,16,1971,6.63,9,8,9,12,8,3000,108,118,15,104,98
744635,Casa Pia,GK,36,19/11/1986 (36 years old),15,13,12,3067,6.86,12,13,14,12,10,4500,122,122,8,158,115
745687,Académica Coimbra,AM (RL),35,17/6/1988 (35 years old),16,13,10,2348,6.84,12,11,10,13,11,2500,100,115,15,94,91
778087,Eintracht Frankfurt,"D (C), DM, M (C)",39,18/1/1984 (39 years old),20,13,15,989,6.79,16,19,15,13,10,5500,130,136,15,173,113
788545,Sint-Truiden,ST (C),37,16/4/1986 (37 years old),18,14,15,2297,6.76,15,14,12,12,5,5250,121,143,14,147,106
813076,Deportivo La Coruña,"AM (RLC), ST (C)",34,10/9/1988 (34 years old),15,11,10,3007,7.21,11,10,9,11,11,5100,132,150,13,87,122
815158,Calahorra,GK,41,25/11/1981 (41 years old),14,12,6,1530,6.48,14,10,12,9,7,3000,110,115,8,73,98
830080,Bari,D (C),40,23/5/1983 (40 years old),17,13,16,3420,6.77,14,16,14,17,10,3500,117,133,11,120,107
830119,Milan,GK,39,8/7/1983 (39 years old),19,19,8,0,0.00,10,15,13,14,9,5000,120,143,19,173,106
832992,ACR. Messina,GK,41,23/3/1982 (41 years old),10,13,12,2700,6.61,12,9,13,12,7,2300,94,102,8,80,82
834544,Lumezzane,"DM, M (C)",40,10/7/1982 (40 years old),20,16,14,3255,6.86,16,20,14,14,2,2300,93,126,8,80,82
837627,Brindisi,"AM (R), ST (C)",38,10/10/1984 (38 years old),15,16,14,0,0.00,15,14,13,10,12,1900,78,122,6,80,67
853642,PSV Eindhoven,GK,39,24/1/1984 (39 years old),12,13,15,0,0.00,10,12,12,13,4,3250,105,135,18,160,94
856952,PEC Zwolle,GK,37,10/1/1986 (37 years old),15,10,9,0,0.00,13,8,7,8,11,3250,105,145,12,160,94
859209,Ajax,GK,39,8/11/1983 (39 years old),17,17,13,0,0.00,14,16,15,11,10,5000,129,136,18,160,113
859549,Go Ahead Eagles,GK,34,3/3/1989 (34 years old),16,14,10,0,0.00,12,15,11,15,9,3750,109,125,9,160,102
859596,Luton Town,GK,35,3/4/1988 (35 years old),16,14,11,270,6.67,13,14,11,16,13,5400,123,152,14,185,120
860472,Vitesse,GK,34,6/2/1989 (34 years old),10,8,16,2880,6.71,12,6,11,13,6,5000,120,132,18,160,116
860481,FC Twente,"AM (L), ST (C)",34,27/1/1989 (34 years old),13,12,14,1078,6.93,11,10,13,8,11,4400,125,137,15,160,114
860972,Sparta Rotterdam,"DM, M/AM (C)",35,13/9/1987 (35 years old),16,13,16,1085,6.73,13,10,12,18,13,4500,114,150,12,160,103
861927,Zulte Waregem,"DM, M (C)",35,11/5/1988 (35 years old),12,19,12,1891,6.95,15,14,14,14,10,4750,110,130,15,96,99
861941,De Graafschap,D/WB (L),34,11/2/1989 (34 years old),9,5,5,3264,6.86,8,7,10,11,10,4250,109,130,11,110,98
861947,TOP Oss,D (RC),33,9/8/1989 (33 years old),13,15,9,2895,6.74,11,12,12,8,4,3250,101,103,8,110,91
861948,FC Volendam,"AM (C), ST (C)",34,18/5/1989 (34 years old),12,12,14,1904,6.77,11,12,14,10,6,4250,110,121,10,160,99
862068,Castellón,"DM, M (C)",38,8/3/1985 (38 years old),13,7,9,3332,7.14,14,7,12,12,8,4650,108,136,14,87,96
863702,Heracles,"D/WB (R), DM, M (C)",33,24/6/1990 (33 years old),9,13,14,1272,6.75,10,12,10,12,9,4750,114,125,13,160,102
864168,PSV Eindhoven,D/WB/M (L),32,29/8/1990 (32 years old),14,6,15,0,0.00,10,13,12,15,6,4600,130,134,18,160,119
864173,Willem II,"D (RLC), WB (R), DM",33,13/9/1989 (33 years old),15,11,12,2685,6.91,13,11,13,12,14,3500,106,123,15,110,96
915688,AlbinoLeffe,"DM, M (C)",41,26/6/1982 (41 years old),15,14,13,352,6.82,13,12,14,15,7,1850,84,116,14,80,73
916373,Angoulême Charente FC,"D (RC), WB (R)",39,24/4/1984 (39 years old),12,13,11,2014,6.83,14,9,13,11,7,1750,95,102,5,66,84
916439,Athens Kallithea,"D (C), DM, M (C)",39,18/1/1984 (39 years old),15,16,15,1620,6.76,14,15,12,12,5,3750,110,135,6,91,99
919962,Ajaccio,"DM, M (C)",36,29/4/1987 (36 years old),15,15,12,2880,6.88,14,12,12,11,6,3750,123,129,10,117,111
929798,N.E.C.,"DM, M/AM (C)",37,27/5/1986 (37 years old),17,15,13,2939,6.92,16,14,16,8,8,5000,121,140,12,160,107
947424,Milan,D (C),34,26/3/1989 (34 years old),20,20,18,497,6.76,15,14,16,15,11,6250,140,155,19,173,136
950975,Rayo Vallecano,ST (C),37,10/2/1986 (37 years old),17,16,16,21,7.70,17,19,14,14,15,5800,127,176,12,178,112
955978,Monza,AM (LC),35,15/2/1988 (35 years old),14,15,15,49,6.60,14,14,11,16,12,6000,131,161,10,173,118
958318,Rayo Vallecano,M/AM (C),35,26/4/1988 (35 years old),16,14,8,2789,6.81,14,12,16,10,6,5500,134,142,12,178,129
964420,Parma,D/WB/M (L),36,20/9/1986 (36 years old),19,19,15,1583,6.93,12,12,12,17,12,4250,119,139,16,120,115
964847,Salernitana,D (C),36,17/3/1987 (36 years old),18,16,13,3415,6.72,12,11,12,14,12,4750,126,150,13,173,121
965202,Andratx,D (RC),37,19/7/1985 (37 years old),14,17,11,2502,6.85,12,13,13,12,8,3750,103,135,8,73,93
1201195,ADO Den Haag,"AM (RL), ST (C)",31,12/3/1992 (31 years old),10,2,10,21,6.60,5,12,7,8,11,2250,92,108,12,110,82
1400413,Virtus Francavilla,D (C),35,4/4/1988 (35 years old),13,15,11,0,0.00,11,13,12,12,5,3000,89,100,5,80,78
1400488,Palermo,D (C),35,25/9/1987 (35 years old),4,13,11,2055,6.64,13,12,13,10,5,4750,125,128,14,120,109
1400531,SPAL,GK,35,4/5/1988 (35 years old),14,12,12,4260,6.97,14,12,15,10,5,4500,103,123,12,80,99
1400830,Triestina,D/WB (R),35,26/2/1988 (35 years old),18,14,15,2323,6.75,11,10,15,12,5,4250,97,115,12,80,91
1400937,Alessandria,D/WB (R),35,18/7/1987 (35 years old),14,13,13,2801,7.02,12,12,12,8,7,2450,93,114,8,80,82
1401054,Bologna,D/WB/M (R),35,23/5/1988 (35 years old),18,18,18,1207,6.76,12,14,14,13,11,6100,127,144,16,173,119
1401732,Frosinone,GK,37,1/12/1985 (37 years old),13,8,12,0,0.00,7,13,10,15,11,3700,105,120,12,173,94
1405073,Cagliari,"DM, M/AM (C), ST (C)",33,12/10/1989 (33 years old),18,17,11,1892,6.73,13,12,14,11,13,4400,126,135,14,173,119
1405155,Vis Pesaro,D (C),34,6/9/1988 (34 years old),18,18,13,3102,6.69,13,10,13,12,5,2250,94,109,7,80,90
1408812,Crotone,GK,35,5/4/1988 (35 years old),14,13,12,0,0.00,8,11,10,15,5,1150,93,93,13,80,90
1408856,Recanatese,ST (C),36,6/1/1987 (36 years old),16,15,16,2331,6.83,15,14,15,14,8,2800,96,120,6,80,85
1408971,Casertana,"WB (R), M (RC), AM (R)",34,15/9/1988 (34 years old),15,15,13,664,6.82,12,14,12,14,9,1700,97,102,10,80,86
1409674,Lecco,D/WB/M (R),37,16/8/1985 (37 years old),16,17,13,3052,6.73,13,11,13,11,8,3400,109,114,7,120,100
1411024,Pro Patria,"DM, M (RC)",34,10/8/1988 (34 years old),15,16,14,2930,6.85,15,15,15,5,5,3200,92,115,9,80,85
1411762,FeralpiSalò,GK,34,2/6/1989 (34 years old),15,12,10,0,0.00,12,12,13,8,11,2800,96,118,6,120,92
1411827,Monterosi,ST (C),34,9/1/1989 (34 years old),16,13,13,2652,6.87,11,12,9,13,7,3300,102,114,5,80,96
1412928,Virtus Verona,AM (RLC),38,20/5/1985 (38 years old),14,13,10,0,0.00,10,13,13,12,14,3550,97,137,5,80,87
1414164,Perugia,D (C),34,28/4/1989 (34 years old),11,13,13,3443,6.98,10,12,13,12,6,4250,105,135,14,80,94
1414216,Potenza,ST (C),33,3/7/1990 (33 years old),15,16,14,3201,6.94,13,10,15,12,13,4000,101,125,10,80,95
1414241,Monza,"D (RC), WB (R)",34,9/9/1988 (34 years old),20,16,16,3197,6.69,14,16,16,13,10,5750,131,146,10,173,128
1414320,Taranto,"D (RC), WB/M (R)",33,16/1/1990 (33 years old),14,15,11,1614,6.83,10,15,12,14,6,2500,100,110,12,80,91
1414422,Cremonese,D (RC),33,8/6/1990 (33 years old),13,13,13,15,0.00,10,12,12,12,13,3950,115,130,17,120,109
1414500,Cerignola,"D (C), DM, M (C)",35,25/8/1987 (35 years old),16,15,11,2720,6.84,13,12,13,12,8,2550,99,124,7,80,94
1414504,Turris,ST (C),35,26/11/1987 (35 years old),16,16,17,2796,7.09,12,13,13,12,8,4000,104,122,6,80,94
1501062,Deportivo La Coruña,M/AM (RC),39,18/3/1984 (39 years old),16,14,13,23,6.70,13,12,15,11,7,4100,124,135,13,87,108
1501527,Atlético Baleares,ST (C),37,14/2/1986 (37 years old),15,15,8,372,6.95,11,11,13,10,7,4000,110,130,9,87,99
1501655,Real Valladolid,ST (C),37,20/8/1985 (37 years old),18,13,13,130,6.77,13,13,13,10,9,5250,120,156,14,116,109
1501691,Marino Luanco,D (LC),37,7/8/1985 (37 years old),9,6,11,2784,6.94,12,11,11,11,10,2000,90,115,8,73,78
1502114,Tudelano,GK,38,27/2/1985 (38 years old),8,14,11,3060,6.61,12,10,12,12,13,2850,107,130,8,73,96
1502117,Athletic Club,"M/AM (C), ST (C)",36,11/7/1986 (36 years old),15,14,14,84,6.67,13,9,12,15,11,5800,131,175,18,178,111
1502475,Real Avilés,"M (C), AM (RC), ST (C)",38,18/9/1984 (38 years old),7,10,12,2750,6.91,10,9,13,10,11,2250,95,140,8,73,83
1503789,Sestao River,D/WB/M/AM (L),33,23/4/1990 (33 years old),10,13,8,2741,6.58,9,11,10,11,12,3450,109,120,9,87,99
1504124,Intercity,"D/WB/M/AM (R), ST (C)",33,30/9/1989 (33 years old),8,12,10,2193,6.59,14,9,10,13,7,5250,105,140,9,87,93
1507578,Segoviana,ST (C),38,23/5/1985 (38 years old),12,12,12,2223,6.98,15,12,11,14,8,2650,103,105,10,73,92
1507647,Orihuela,M/AM (RLC),37,19/6/1986 (37 years old),16,14,12,2928,7.11,14,13,13,8,10,3600,102,130,9,73,91
1507814,Alcorcón,"DM, M/AM (LC)",37,4/12/1985 (37 years old),14,14,13,1717,6.87,13,13,14,11,8,3650,113,125,11,116,99
1508834,Racing de Ferrol,M/AM (C),35,11/1/1988 (35 years old),11,10,17,1421,6.78,10,10,13,6,17,4000,110,135,9,116,99
1509233,Marino Luanco,"DM, M (C)",36,11/9/1986 (36 years old),10,11,11,1594,6.97,12,12,15,13,14,1600,82,115,8,73,71
1509243,San Roque de Lepe,"D (C), DM",36,19/2/1987 (36 years old),18,14,10,2278,6.76,13,14,16,12,11,2700,94,129,8,73,87
1509367,Eibar,"D (RLC), WB (R), AM (C)",36,15/5/1987 (36 years old),13,10,11,2985,6.79,4,11,14,12,8,4400,128,132,13,116,110
1509441,Mallorca,"M (C), AM (RLC)",35,6/6/1988 (35 years old),17,4,11,3197,6.90,11,14,14,11,4,5000,130,131,12,178,122
1509453,Coruxo,"M/AM (R), ST (C)",34,3/4/1989 (34 years old),11,10,13,1105,6.75,6,12,10,14,7,1750,85,101,10,73,73
1509914,Atlético Sanluqueño,"DM, M (C)",35,10/9/1987 (35 years old),14,12,11,2901,7.04,12,12,11,14,13,2850,107,120,9,87,96
1510284,Granada,D (RLC),35,12/6/1988 (35 years old),16,13,12,3042,6.70,14,12,13,5,13,4350,117,134,15,178,113
1510305,Lazio,AM (RLC),35,28/7/1987 (35 years old),20,20,20,3169,7.00,19,15,14,17,10,6300,138,165,18,173,134
1510307,Manresa,"DM, M (C)",37,11/4/1986 (37 years old),10,17,12,2759,6.73,8,11,12,11,13,2550,101,104,10,73,90
1510564,Sabadell,"DM, M (C)",34,2/3/1989 (34 years old),12,12,10,2973,6.99,11,12,15,15,14,2750,105,140,13,87,94
1510602,Celta Vigo,GK,36,10/1/1987 (36 years old),12,15,14,240,6.75,12,13,15,17,10,5250,135,150,16,178,128
1510905,Numancia,GK,38,22/5/1985 (38 years old),13,6,12,2655,6.78,7,12,13,8,12,2900,98,103,15,73,87
1511669,Fuenlabrada,"DM, M/AM (C)",39,21/4/1984 (39 years old),16,11,12,3299,7.11,15,10,15,10,6,3750,115,120,10,87,104
1800872,Anagennisi Karditsas,ST (C),34,24/12/1988 (34 years old),9,6,9,1318,6.76,14,14,12,9,6,2000,90,130,8,91,78
1804517,Apollon Pontou,"DM, M (C)",36,24/3/1987 (36 years old),15,15,12,2106,6.82,12,10,12,14,9,1250,85,100,5,91,74
1804808,Real Betis,D (C),35,9/6/1988 (35 years old),16,16,15,54,6.70,14,13,12,15,10,5500,125,155,14,178,114
1804955,Larisa,"D (RC), WB (R), DM",36,9/5/1987 (36 years old),15,15,12,2246,6.87,9,12,11,10,4,1500,95,105,9,91,84
2005767,Hereford,ST (C),35,21/4/1988 (35 years old),10,12,8,1466,6.80,13,13,9,13,15,3000,57,124,9,46,55
2010127,UD Oliveirense,"AM (C), ST (C)",56,26/2/1967 (56 years old),20,17,15,0,0.00,16,18,14,17,4,700,69,158,10,104,55
2019100,Rochdale,"DM, M (C)",34,14/1/1989 (34 years old),14,14,12,2014,6.73,14,13,9,12,4,2750,85,137,9,72,75
2104271,Vila Meã,GK,40,21/1/1983 (40 years old),18,15,15,2460,6.74,10,13,10,11,13,3000,83,120,10,86,73
3300416,Paredes,GK,42,12/8/1980 (42 years old),16,14,11,2160,6.88,13,11,13,12,10,2650,108,132,12,86,96
3802076,Sassuolo,GK,42,25/3/1981 (42 years old),20,19,19,0,0.00,18,15,15,13,12,3750,110,130,12,173,99
4000858,Tranmere,GK,41,21/8/1981 (41 years old),12,13,12,463,6.78,14,13,14,14,11,1600,67,126,12,85,56
