index,Age,Prof,Det,Amb,Mins,Av Rat,Imp M,Pres,Cons,Ada,Inj Pr,WR,CA,Margin,Training facilities,Div Rep,Growth
276,35.29363449691992,20,14,12,270,6.63,16,13,15,13,6,5750,136,14,20,185,-6
293,40.2217659137577,17,14,14,961,6.93,10,8,14,12,15,6200,139,28,14,178,-19
298,35.64955509924709,7,12,12,360,6.35,9,7,12,9,13,3700,109,15,10,140,-8
299,35.63586584531143,15,15,12,495,6.9,14,12,10,9,2,3750,112,12,15,173,-7
301,37.97125256673511,19,16,13,3600,6.76,16,15,14,15,7,6000,132,16,13,173,-8
305,35.96167008898015,18,14,16,3270,7.0,10,11,10,8,10,2100,97,11,12,104,-3
306,34.217659137577,13,12,10,540,7.08,11,12,13,13,9,2750,110,10,14,130,-6
307,40.837782340862425,20,20,20,1110,6.86,13,14,12,20,6,6000,135,40,17,178,-15
309,39.1047227926078,11,13,13,0,0.0,14,13,15,8,11,4600,122,22,12,178,-17
310,41.75770020533881,15,14,11,3150,6.66,14,15,14,13,5,2950,99,30,9,87,-10
314,37.582477754962355,8,8,8,2482,6.83,10,5,15,7,9,3500,110,12,7,73,-11
316,36.139630390143736,16,13,13,3189,6.96,12,12,15,14,9,5900,138,17,20,158,-2
326,37.30047912388775,15,15,15,0,0.0,10,10,11,10,8,3200,96,23,14,173,-11
330,37.58521560574949,13,13,11,3360,6.76,16,11,12,15,12,5250,112,38,13,120,-10
332,36.42984257357974,17,17,16,3510,6.85,14,13,13,13,4,5000,129,14,12,173,-3
337,37.686516084873375,17,16,15,180,6.3,13,7,13,15,7,4250,108,32,14,173,-8
338,35.98631074606434,12,12,15,3150,6.64,11,10,12,12,8,2250,91,21,5,80,-5
344,33.62628336755647,13,13,14,2461,6.78,13,11,15,11,7,3500,109,6,12,85,-8
347,35.60301163586585,13,14,12,0,0.0,6,12,14,13,12,2500,100,15,14,85,-4
349,35.32375085557837,18,15,15,3810,6.85,13,13,13,16,4,5750,135,17,20,147,0
356,33.229295003422315,14,14,15,1710,6.62,2,13,11,11,5,1700,77,12,12,85,-5
360,32.53114305270363,14,14,14,360,6.75,15,14,11,7,15,3000,96,14,14,147,-6
366,33.177275838466805,14,14,14,4020,6.75,11,14,15,17,12,4250,121,3,12,147,-1
369,38.26420260095825,17,14,16,3630,6.75,14,13,15,8,3,5500,134,20,16,161,-11
379,36.56673511293634,15,14,13,2779,6.72,14,12,12,13,5,3550,117,13,11,117,-5
387,34.32443531827516,12,13,11,180,6.7,13,10,12,11,7,1500,85,11,8,85,-5
391,34.286105407255306,14,15,12,1530,6.79,15,12,11,17,5,3000,110,5,12,161,-3
393,35.42505133470226,10,13,13,3330,6.64,15,11,11,12,8,2750,110,14,12,117,-5
402,37.12799452429842,13,16,13,1914,6.68,16,14,14,17,5,1500,86,14,6,66,-11
409,33.57973990417522,16,15,15,630,6.74,10,11,11,10,9,5250,121,19,19,134,-6
413,38.171115674195754,16,10,10,0,0.0,13,8,11,8,9,3250,110,5,15,173,-11
415,37.267624914442166,15,18,16,3420,6.93,17,20,16,8,12,8000,162,31,19,173,-11
419,36.54757015742642,18,16,15,360,7.12,17,15,15,14,9,6750,151,16,20,161,-7
420,38.510609171800134,12,12,9,2468,6.61,14,10,11,7,14,3250,95,21,9,73,-11
421,37.073237508555785,15,15,14,3660,6.82,12,12,12,12,6,2650,108,22,12,104,-9
424,35.663244353182755,13,11,12,2610,6.79,12,12,11,13,8,1450,84,5,13,86,-6
452,26.168377823408623,10,11,13,2700,6.76,12,11,12,11,6,1500,100,1,11,96,0
461,23.99726214921287,8,8,12,270,7.23,5,12,11,13,5,1250,85,16,8,66,0
579,26.71047227926078,13,11,11,3600,6.84,12,14,13,15,9,4000,124,0,14,147,0
580,25.71937029431896,17,14,13,0,0.0,9,14,11,13,15,1650,88,27,12,104,3
583,33.53319644079398,11,13,12,2430,6.67,3,13,10,9,14,1000,87,9,5,66,-6
597,20.70362765229295,10,16,12,253,6.57,10,11,11,17,12,1250,85,36,10,85,0
653,22.882956878850102,11,12,14,0,0.0,6,12,10,13,6,500,65,15,12,86,2
659,33.267624914442166,16,13,15,3090,7.06,16,11,13,11,8,4750,122,13,16,120,-4
669,30.830937713894592,15,15,16,4410,6.9,15,18,14,14,5,7000,157,3,20,185,0
684,31.11841204654346,20,11,15,1980,6.95,13,10,13,14,5,6400,138,21,18,160,-5
691,30.45037645448323,16,15,15,3990,7.0,16,15,15,8,5,5000,140,14,18,160,1
704,29.15811088295688,18,15,13,363,6.97,14,8,12,15,3,5750,136,13,17,173,0
706,27.173169062286107,14,14,13,3160,6.68,6,12,15,11,9,4000,131,1,15,178,1
708,30.38193018480493,16,15,12,3330,6.82,15,15,17,13,9,6400,144,4,15,178,0
737,27.89869952087611,14,16,11,3090,6.62,15,14,13,11,7,2750,120,5,11,130,0
778,25.982203969883642,12,10,5,270,6.6,8,13,10,7,7,1000,56,49,8,107,3
811,21.89185489390828,14,12,12,270,6.53,15,10,13,8,10,2000,90,30,9,73,0
826,19.326488706365502,10,14,9,300,6.73,5,12,14,16,7,1100,98,14,12,104,-1
831,32.7501711156742,9,12,10,180,6.35,12,13,10,15,6,2000,85,15,11,85,-5
834,31.23340177960301,18,16,17,2940,6.84,16,16,13,17,7,6250,139,5,18,160,0
841,22.99520876112252,10,11,10,180,6.5,6,11,16,8,4,2250,109,26,20,185,3
849,32.96098562628337,13,12,12,990,6.88,14,14,14,10,3,4500,115,0,12,147,-2
850,33.45379876796714,16,15,14,360,6.45,8,12,14,8,8,3900,117,7,12,140,-5
854,32.71184120465435,12,14,10,0,0.0,5,13,8,12,5,2300,93,12,15,96,-3
885,30.650239561943874,12,11,11,2602,6.73,11,10,14,12,9,3900,115,5,11,160,0
900,28.982888432580424,12,7,12,4320,6.87,14,12,13,15,10,5200,117,16,18,134,1
901,29.27310061601643,8,17,10,2520,6.76,8,10,15,17,9,4000,108,10,14,96,0
910,28.95277207392197,12,12,10,2970,6.64,7,9,9,11,7,3900,113,5,12,140,0
911,29.492128678986994,15,13,12,90,5.8,10,9,10,17,12,3600,112,8,10,125,0
914,29.95482546201232,11,13,13,2910,6.86,11,10,11,14,12,3700,116,9,15,140,0
915,30.65845311430527,15,11,11,3978,6.9,12,13,12,15,12,2750,120,10,14,130,0
919,30.94318959616701,11,12,10,360,6.65,8,10,12,10,6,3000,100,2,16,96,-1
934,27.633127994524298,8,15,15,90,6.4,7,9,11,20,6,3850,108,11,11,125,0
944,27.416837782340863,12,13,13,3510,6.92,14,14,15,12,4,5150,126,7,19,140,0
945,29.505817932922657,17,15,9,0,0.0,10,11,11,12,6,3500,100,15,14,140,0
955,31.014373716632445,10,16,12,2790,6.84,13,10,11,10,7,2500,98,12,14,96,0
960,29.489390828199863,13,13,11,270,6.83,9,13,8,9,10,2500,101,3,14,96,0
971,28.8870636550308,14,12,12,540,6.82,8,13,11,13,4,2950,97,8,11,96,0
975,26.313483915126625,11,14,14,90,6.7,11,10,13,10,10,3850,115,5,17,140,0
978,25.177275838466805,11,2,13,180,6.8,5,11,8,15,4,2350,95,8,12,96,0
992,26.12183436002738,10,12,8,180,7.3,8,10,10,10,6,3650,107,2,15,140,0
1005,26.746064339493497,14,13,12,270,6.7,8,11,12,13,6,3400,97,6,15,96,0
1006,25.65366187542779,9,13,10,2880,6.7,8,9,10,12,7,2350,105,3,14,96,0
1011,26.223134839151268,11,13,12,1122,7.15,9,12,10,17,10,3700,108,2,17,140,0
1013,26.357289527720738,9,11,12,2610,6.72,9,12,14,17,5,3800,113,1,10,140,0
1028,24.84599589322382,12,10,11,394,6.88,8,10,11,10,3,3600,104,5,14,140,0
1033,28.33675564681725,16,13,12,0,0.0,13,8,11,10,5,4250,118,2,16,173,0
1047,23.534565366187543,16,15,13,3180,6.74,16,15,16,7,5,3650,113,17,8,125,7
1059,23.89869952087611,12,14,12,287,6.6,7,8,9,17,6,3650,107,12,13,140,0
1073,24.15605749486653,12,14,14,2348,6.87,6,13,8,13,5,2950,99,9,11,96,0
1082,24.465434633812457,13,11,12,528,6.8,7,12,8,13,10,2100,85,9,10,96,0
1088,22.9596167008898,10,17,12,360,6.8,1,11,8,13,13,2550,103,16,14,96,0
1099,22.570841889117045,9,15,15,180,7.3,8,12,10,9,5,3800,112,16,14,140,2
1101,25.05407255304586,9,10,8,90,6.8,6,8,9,10,8,3550,99,14,12,140,0
1102,23.069130732375086,9,14,16,3420,6.79,8,11,11,16,5,3900,119,16,12,140,8
1106,23.627652292950035,14,17,8,0,0.0,7,8,8,16,8,2050,86,19,14,96,1
1109,22.28336755646817,10,9,11,466,6.77,6,9,9,15,12,3450,97,25,11,96,1
1114,20.955509924709105,12,14,13,2610,6.58,6,12,9,18,6,3500,101,36,1,96,9
1120,21.045859000684462,12,13,12,2970,6.65,6,13,9,14,10,3000,100,36,13,96,15
1126,22.2943189596167,15,17,17,3690,6.99,11,13,14,16,4,5100,124,25,17,140,3
1132,22.899383983572896,11,8,13,0,0.0,1,12,9,11,8,2000,83,23,14,120,3
1153,22.43668720054757,12,14,10,0,0.0,3,9,12,11,8,1800,86,25,12,96,0
1161,22.22861054072553,12,5,11,2762,6.79,10,10,12,9,7,2250,101,25,12,96,0
1174,22.379192334017795,11,10,12,0,0.0,13,9,14,9,10,3300,101,25,16,173,2
1177,24.17248459958932,11,8,11,0,0.0,7,11,20,7,8,1850,74,9,10,140,0
1181,21.894592744695416,14,14,12,2442,6.67,6,13,10,13,5,2750,91,25,10,96,7
1197,21.44832306639288,12,11,11,0,0.0,1,12,12,8,3,2250,85,30,11,173,0
1200,20.98836413415469,13,12,8,2556,6.81,5,11,9,7,5,3300,100,36,13,96,9
1216,25.333333333333332,9,18,12,2820,6.91,8,10,12,8,5,2450,98,4,15,96,4
1224,22.951403148528406,13,19,12,0,0.0,5,11,15,9,13,2050,82,25,12,96,2
1225,21.26488706365503,14,14,15,270,6.37,6,13,12,12,5,3700,109,36,13,140,0
1229,20.145106091718002,10,10,12,2700,6.66,7,11,8,20,5,2450,98,5,12,96,0
1231,20.27104722792608,10,6,10,148,6.8,11,10,16,19,9,2250,94,11,12,96,0
1246,20.449007529089666,13,9,12,0,0.0,4,12,8,13,14,2250,91,36,13,96,0
1265,20.177960301163587,11,3,11,324,7.0,2,12,9,16,5,2250,93,27,13,96,1
1272,19.603011635865844,14,14,15,2340,6.93,6,12,10,14,5,3450,98,31,19,96,12
1283,19.156741957563312,12,14,14,90,7.5,4,9,9,12,7,3350,94,16,1,96,1
1284,19.082819986310746,12,8,10,0,0.0,17,11,7,9,5,2200,89,29,13,96,0
1305,34.338124572210816,8,12,10,0,0.0,3,12,11,13,14,4500,112,5,14,147,-7
1308,31.019849418206707,18,15,15,3045,6.94,14,14,13,12,8,5500,137,15,15,173,0
1309,30.913073237508556,12,10,11,0,0.0,9,8,12,7,14,5000,114,11,18,147,0
1312,31.498973305954827,10,10,9,243,6.9,7,11,20,12,8,950,90,25,13,85,0
1315,30.691307323750856,14,14,19,3870,6.81,10,12,14,14,2,4500,130,5,14,185,0
1319,34.05612594113621,10,12,10,2520,6.72,8,10,13,10,10,2000,99,9,12,96,-6
1320,31.34839151266256,12,15,15,0,0.0,4,12,16,12,12,5250,136,0,13,185,-2
1321,32.95824777549623,14,14,12,203,6.97,14,11,11,10,10,3500,108,5,14,147,-4
1327,31.143052703627653,15,16,14,1080,6.87,18,16,16,14,5,8550,181,0,18,178,-2
1331,30.17385352498289,14,13,12,450,7.48,16,14,13,14,14,5000,124,11,17,147,-1
1342,29.472963723477072,16,15,14,2880,6.7,4,15,13,14,6,4750,112,8,11,147,1
1348,32.75290896646133,11,16,16,0,0.0,12,12,20,14,6,2100,92,18,8,87,-5
1351,31.854893908281998,10,13,11,591,6.51,5,12,14,10,10,2500,105,5,12,96,-7
1352,30.798083504449007,14,14,14,1920,6.9,8,11,14,9,5,2750,103,11,17,147,0
1353,34.064339493497606,12,18,11,0,0.0,16,5,14,15,10,4250,103,8,13,147,-6
1364,29.401779603011637,18,14,14,450,6.82,13,10,14,12,8,4750,117,5,17,147,-1
1366,34.78713210130048,11,14,10,3060,6.73,7,12,14,15,19,4750,102,18,12,96,-3
1368,31.463381245722108,13,9,12,2979,6.68,9,9,10,11,5,500,75,1,10,85,-1
1377,29.744010951403148,12,12,14,555,6.86,3,11,10,15,6,3250,113,7,15,96,-1
1394,28.61601642710472,10,15,12,3360,6.83,14,11,12,15,5,2750,104,18,12,85,0
1396,29.817932922655714,11,10,10,411,6.6,6,13,10,15,4,3000,98,2,10,110,-1
1406,28.314852840520192,11,14,12,488,6.47,11,12,12,18,5,4500,113,5,12,147,0
1431,31.548254620123203,11,8,10,0,0.0,18,11,19,19,5,500,64,16,10,85,0
1437,27.463381245722108,11,18,14,2610,6.72,18,14,12,18,6,1750,88,0,12,96,0
1446,26.965092402464066,11,12,15,2730,7.05,7,11,18,20,8,3000,103,0,16,96,0
1453,27.994524298425734,12,14,14,1290,6.84,3,12,10,19,10,4000,109,1,13,147,1
1471,25.420944558521562,12,12,14,2910,6.74,7,11,12,19,14,4000,101,4,10,96,3
1474,25.31690622861054,12,12,11,2335,6.91,11,11,10,12,13,500,79,4,10,85,2
1499,27.972621492128678,12,16,11,0,0.0,5,10,12,19,13,2250,92,4,12,96,0
1504,23.849418206707735,14,15,18,0,0.0,11,7,12,13,5,4650,125,15,18,173,0
1509,25.94387405886379,12,13,12,3656,6.92,13,10,13,13,14,3000,119,16,13,134,0
1516,25.270362765229294,10,14,11,270,6.37,7,9,18,16,10,500,88,4,12,96,0
1526,24.66255989048597,11,12,14,3005,6.52,8,10,10,10,7,4400,112,9,14,147,0
1529,26.239561943874058,11,12,11,0,0.0,13,14,10,13,7,2000,80,25,12,96,1
1530,29.83983572895277,13,16,10,2016,6.5,1,10,14,16,10,1500,91,14,7,66,0
1534,25.360711841204655,13,8,12,0,0.0,10,11,9,20,11,750,85,4,12,96,0
1546,26.532511978097194,8,13,12,1166,6.8,18,10,10,11,7,3400,108,7,14,117,0
1555,30.874743326488705,11,12,9,3009,6.72,11,12,19,13,6,3750,115,3,12,147,0
1574,24.42984257357974,12,5,12,0,0.0,1,10,19,19,5,2500,94,4,16,96,0
1588,24.40520191649555,13,13,12,0,0.0,1,9,8,20,5,1450,80,9,10,96,0
1593,23.698836413415467,11,12,11,90,7.7,13,10,10,16,10,2250,100,16,11,96,0
1594,24.982888432580424,12,5,12,0,0.0,8,7,6,9,5,500,80,4,10,85,0
1597,23.096509240246405,10,6,11,2634,6.95,7,13,11,14,15,2500,91,16,13,85,0
1600,26.193018480492814,12,12,14,2550,6.98,15,12,12,16,6,1750,121,1,15,96,0
1602,23.789185489390828,10,7,12,180,7.1,1,11,7,11,12,1750,92,9,12,96,0
1632,22.146475017111566,12,5,12,1038,6.56,6,10,8,16,6,1000,97,25,13,96,1
1634,24.396988364134156,9,15,18,900,6.98,9,10,5,8,9,2000,95,9,12,147,3
1635,22.154688569472963,12,11,11,1800,6.83,5,12,13,11,9,500,88,25,10,85,0
1640,24.602327173169062,10,15,10,210,6.6,11,12,11,7,6,3250,86,9,12,96,0
1644,22.628336755646817,11,4,11,90,7.2,8,11,16,16,11,1250,90,20,8,110,0
1648,22.17932922655715,10,10,10,0,0.0,13,9,8,9,8,500,57,25,11,96,2
1655,22.661190965092402,9,9,11,509,6.82,11,9,15,13,13,2000,82,25,12,85,1
1662,22.067077344284737,12,17,11,0,0.0,3,9,17,15,8,2000,80,25,18,96,0
1663,21.932922655715263,11,6,12,90,7.7,6,10,11,15,6,1650,85,20,8,110,0
1667,21.347022587268995,14,14,14,5040,6.84,12,12,12,11,10,5500,121,36,17,147,12
1686,22.26420260095825,12,18,9,0,0.0,6,7,14,20,5,1500,79,25,12,147,7
1696,24.980150581793293,9,11,11,3510,6.83,13,10,10,20,5,2250,103,5,8,110,0
1697,22.872005475701574,10,11,9,1710,6.52,2,10,8,18,11,500,68,16,8,85,3
1698,31.98904859685147,11,5,12,0,0.0,11,11,12,9,8,1500,79,6,10,85,0
1702,21.31690622861054,12,12,11,360,7.42,3,12,18,12,5,2750,109,36,12,147,0
1704,22.075290896646134,11,14,13,0,0.0,9,11,11,19,8,2000,85,25,11,96,0
1709,22.26694045174538,11,5,10,2347,6.9,3,10,10,17,9,2000,86,25,12,85,0
1721,21.691991786447637,12,16,11,0,0.0,13,12,10,19,6,2000,84,36,12,96,1
1730,21.790554414784395,12,6,10,0,0.0,8,11,11,15,15,1000,83,27,16,134,0
1733,21.971252566735114,13,9,8,2250,6.6,4,12,11,10,5,1000,90,25,12,85,2
1748,21.489390828199863,12,4,11,180,6.3,16,12,16,10,7,1000,101,36,11,147,0
1768,23.252566735112936,11,11,12,547,6.93,3,13,13,19,12,1500,76,16,8,85,2
1787,19.351129363449694,11,7,12,2610,6.57,10,12,10,18,11,1000,90,29,13,96,3
1802,19.887748117727583,10,7,12,1980,6.85,11,13,19,7,8,1000,79,13,14,85,0
1832,20.197125256673512,13,4,9,360,6.53,13,13,11,7,8,1000,62,10,13,85,0
1839,21.166324435318277,12,7,12,180,6.6,8,11,12,15,14,1000,96,36,16,96,0
1845,19.863107460643395,13,13,9,2983,6.78,15,13,8,18,8,1000,82,9,14,85,4
1862,21.152635181382614,13,13,10,2123,6.84,3,10,11,14,13,1000,92,36,17,85,5
1872,19.575633127994525,10,16,11,3360,6.87,13,12,9,12,6,1000,80,19,10,85,4
1877,20.90075290896646,11,13,12,0,0.0,1,11,17,13,5,1000,70,11,12,96,0
1885,35.22245037645448,15,14,13,3630,6.79,15,11,14,13,3,4950,119,11,11,120,-3
1888,33.40177960301163,13,13,13,1470,6.79,13,10,13,11,6,4100,119,1,12,158,-9
1893,33.95482546201232,14,15,14,3579,6.8,14,16,12,14,6,6500,143,13,13,185,-4
1894,33.61259411362081,10,12,12,1720,6.59,8,10,13,16,13,1600,87,18,9,86,-10
1902,30.748802190280628,18,19,17,4620,7.05,16,17,17,16,8,8250,176,4,20,185,3
1911,32.5284052019165,15,14,15,210,6.7,14,16,13,16,9,3600,112,9,12,158,-2
1921,30.510609171800137,12,12,11,0,0.0,12,13,9,12,7,2250,100,12,13,104,0
1926,32.07392197125257,12,12,12,4311,6.74,12,13,11,14,5,2000,81,14,7,46,-1
1927,31.430527036276523,13,13,12,0,0.0,6,13,10,16,16,4400,118,12,14,158,-9
1932,29.4072553045859,12,12,10,810,6.91,12,12,8,10,6,3500,104,8,16,158,1
1940,30.954140999315538,12,14,12,2250,6.8,15,10,14,13,7,6100,142,3,18,158,2
1943,32.31759069130732,12,13,12,3240,6.59,9,12,12,12,11,4300,119,3,8,158,-4
1958,29.26488706365503,15,16,12,921,6.57,1,12,10,11,7,2250,110,7,13,158,0
1959,32.153319644079396,14,15,13,1567,6.74,13,9,9,13,6,3800,116,6,13,158,0
1961,27.055441478439427,12,12,14,0,0.0,14,14,13,17,8,3750,112,12,13,158,0
1963,30.001368925393567,13,14,11,0,0.0,15,15,14,15,4,2350,103,19,12,104,-1
1979,29.45927446954141,14,8,12,0,0.0,1,11,8,13,5,2000,95,10,6,130,0
1992,25.9958932238193,12,4,12,390,7.22,10,11,13,10,3,4500,120,10,13,178,0
1999,25.560574948665298,14,14,13,2880,6.9,10,10,14,12,10,4500,142,6,17,161,1
2011,28.435318275154003,12,12,11,3330,6.64,11,11,13,9,10,3800,116,9,12,158,0
2012,25.08145106091718,11,12,11,3060,6.81,12,11,11,18,12,3400,118,8,10,104,0
2013,25.089664613278575,11,11,10,0,0.0,1,12,10,14,5,1600,114,11,10,120,0
2022,26.836413415468858,11,4,10,90,6.6,2,9,10,16,6,3250,120,0,14,147,0
2028,25.568788501026695,10,13,11,713,6.76,5,13,11,8,5,2750,92,23,8,158,3
2040,24.418891170431213,10,12,9,2659,6.71,16,10,11,13,12,4050,121,11,13,158,0
2053,27.45242984257358,13,12,10,3180,6.67,10,10,11,11,1,3100,112,14,15,104,7
2062,26.49965776865161,15,13,11,2550,6.77,8,14,12,12,5,1650,88,9,11,94,2
2084,23.704312114989733,12,8,12,2880,6.8,7,11,10,11,8,500,90,33,8,86,0
2112,22.740588637919235,15,14,12,0,0.0,12,12,8,9,14,2500,97,23,18,173,4
2118,23.132101300479125,10,13,12,1673,6.95,12,10,10,16,12,3600,109,19,13,158,0
2127,25.166324435318277,11,6,11,0,0.0,12,11,12,10,7,1450,84,16,13,94,0
2133,24.254620123203285,14,14,13,3060,6.91,13,13,14,9,7,3000,122,13,11,120,0
2146,23.84394250513347,14,12,12,3330,6.69,7,9,6,8,10,2350,102,15,10,104,2
2147,22.46406570841889,10,13,13,2880,6.76,11,12,14,13,5,5000,130,22,13,158,0
2159,22.0041067761807,12,13,10,3090,6.87,11,13,12,10,6,4400,128,19,13,158,7
2161,23.20328542094456,13,9,9,2520,6.89,15,12,10,19,7,500,85,31,13,86,9
2172,22.691307323750856,11,9,12,0,0.0,8,11,16,12,8,1000,92,28,13,158,3
2193,23.340177960301162,13,13,12,270,7.43,10,11,12,12,8,2300,101,27,15,104,3
2216,30.184804928131417,16,13,11,2070,6.71,13,16,7,13,4,2650,108,38,14,104,0
2235,27.583846680355922,12,16,13,3390,7.07,12,11,14,18,5,4250,120,5,12,125,0
2286,27.45516769336071,16,14,13,3330,6.77,8,15,12,20,9,6150,138,9,13,185,1
2291,28.635181382614647,14,5,11,3330,6.88,7,12,11,8,9,3750,115,5,13,117,0
2292,25.470225872689937,14,13,14,3330,6.79,9,11,11,11,5,4250,123,7,10,120,0
