Position,Age,Prof,Det,Amb,Mins,Av Rat,Imp M,Pres,Cons,Ada,Inj Pr,WR,CA,Margin,Training facilities,Div Rep,Growth
D (C),29.190965092402465,10,9,10,2070,6.63,18,10,10,11,10,1000,82,8,6,66,-3
D/WB (L),28.6652977412731,14,14,12,2832,6.75,9,12,12,8,6,1750,98,4,12,85,0
"DM, M (C)",28.531143052703626,13,16,8,2104,6.8,1,8,9,20,9,1000,82,8,6,66,-1
GK,26.69678302532512,14,12,14,3630,6.89,15,12,12,19,8,3800,117,18,6,117,0
D (C),27.526351813826146,13,3,10,2597,6.89,14,10,12,9,5,2000,90,35,4,66,-2
"D (LC), WB (L)",26.833675564681723,13,12,14,3950,6.81,13,10,12,10,7,4500,115,0,12,147,0
"DM, M (C)",28.150581793292265,10,10,8,1513,6.55,6,10,10,10,10,850,76,8,5,66,-2
"DM, M/AM (C)",28.317590691307323,16,15,15,2613,6.9,12,12,13,12,6,4500,135,7,16,161,0
AM (RLC),26.55167693360712,14,13,12,628,6.79,13,12,11,12,7,2500,108,7,11,117,0
ST (C),27.326488706365502,13,13,11,104,6.63,16,12,12,12,7,4750,125,5,13,173,0
"M/AM (R), ST (C)",32.43805612594114,8,10,11,1158,7.13,12,10,12,15,8,2250,94,8,4,66,-9
D/WB (L),25.53867214236824,10,4,12,3402,6.84,9,10,10,7,4,1650,91,29,10,85,7
M/AM (C),24.862422997946613,14,9,8,4422,6.88,1,7,9,16,2,600,68,41,9,46,0
D/WB/M (R),25.519507186858316,10,11,9,2898,6.86,9,8,7,11,13,1750,87,31,11,85,4
"DM, M (C)",26.803559206023273,9,17,11,3401,6.93,8,9,9,17,7,1750,80,10,10,72,0
"DM, M/AM (C)",25.415468856947296,11,12,8,472,6.58,8,11,8,7,17,1750,82,20,10,107,0
ST (C),26.00684462696783,12,3,8,1675,6.93,7,10,8,20,5,1400,85,15,9,72,0
M/AM (C),26.083504449007528,14,14,14,2618,7.15,12,10,12,12,6,5000,127,3,15,160,0
D/WB (R),29.52498288843258,13,10,13,548,6.69,12,13,13,18,5,3500,104,5,11,160,0
"DM, M (C)",22.902121834360027,15,14,13,3761,6.86,15,14,14,8,14,3900,118,22,12,116,3
"AM (LC), ST (C)",24.53388090349076,12,12,12,3238,6.88,8,13,10,14,6,2550,101,21,8,87,2
"DM, M (LC), AM (C)",21.749486652977414,11,10,12,2290,6.66,8,8,10,11,3,1750,88,22,10,107,0
WB/M/AM (L),21.73305954825462,14,14,13,3294,7.02,10,12,12,13,5,3400,121,9,9,134,1
"D/WB (L), M/AM (C)",21.470225872689937,13,13,12,3855,6.97,9,11,11,12,5,2750,114,22,8,107,3
"AM (C), ST (C)",21.163586584531142,14,15,14,118,6.6,9,14,10,10,6,3750,113,32,18,134,0
GK,21.61533196440794,12,14,8,0,0.0,17,14,9,11,9,1000,65,10,13,85,0
"M (C), AM (LC)",21.169062286105408,11,10,12,2501,6.79,11,13,7,13,8,2350,101,25,11,107,3
"AM (RL), ST (C)",21.809719370294317,15,19,10,2122,6.85,11,9,10,11,5,1700,105,25,5,107,5
D (C),21.125256673511295,15,14,9,1523,6.83,7,10,8,10,5,400,57,32,2,46,7
"DM, M (C)",23.277207392197127,12,9,10,2358,6.6,12,9,10,15,4,2250,90,25,8,107,5
"AM (RL), ST (C)",20.175222450376456,10,13,15,15,6.6,10,14,7,20,5,1250,84,9,14,134,0
D/WB (R),21.308692676249144,11,5,9,180,6.45,7,9,12,17,10,1000,75,15,14,134,0
D (C),22.245037645448324,12,5,10,44,6.6,2,10,8,20,8,1550,81,28,8,87,0
"D (RC), WB (R)",20.123203285420946,14,14,14,1652,6.97,12,12,12,12,10,3000,110,21,19,87,2
AM (C),22.028747433264886,13,6,12,794,6.87,8,10,6,7,6,1450,79,25,8,73,1
"D (C), DM, M/AM (C)",22.012320328542096,9,2,11,316,6.64,4,15,11,14,11,2300,96,19,10,87,0
"AM (RC), ST (C)",23.77549623545517,11,12,13,1528,6.68,5,10,7,7,4,2500,85,33,9,85,3
D (C),40.34770704996578,20,18,18,3591,6.98,18,17,16,16,14,7000,154,11,16,158,-17
D (C),39.70704996577687,18,19,15,3420,6.88,18,18,14,16,7,5000,135,25,17,161,-13
GK,24.254620123203285,12,9,11,2813,6.81,13,11,17,20,8,1000,78,9,8,85,0
AM (RL),27.509924709103355,7,12,9,1881,6.94,4,5,10,4,7,1250,86,0,13,85,-1
D (C),36.38329911019849,16,15,13,2594,7.09,10,8,14,7,7,2750,106,9,12,96,-8
M/AM (C),37.81245722108145,20,17,15,2418,7.04,16,17,15,10,11,7850,171,9,18,178,-17
GK,36.24640657084189,15,12,13,2790,6.78,12,14,12,18,7,1500,95,30,8,91,-4
GK,35.80287474332649,15,13,14,0,0.0,13,10,12,19,7,2000,95,10,11,130,-5
"D (C), DM",37.61533196440794,16,15,16,1471,6.62,15,15,13,12,7,1500,90,25,4,91,-10
D/WB (RL),35.46611909650924,16,15,14,2545,6.63,14,14,14,14,7,1500,95,15,5,91,-10
GK,39.21149897330596,16,14,12,3540,6.8,10,13,12,8,8,2550,106,22,14,104,-10
GK,35.9917864476386,15,13,13,1204,6.83,14,10,13,12,6,3750,106,28,13,134,-3
GK,38.20670773442848,18,15,14,810,6.63,15,10,15,16,10,6250,135,19,14,185,-11
ST (C),34.86379192334018,18,18,18,3758,6.97,15,16,15,15,2,8600,178,12,19,178,-6
GK,36.492813141683776,13,14,17,480,6.55,15,17,9,15,5,4250,116,19,15,160,-7
M/AM (LC),37.39082819986311,15,16,15,2959,7.08,10,9,13,11,5,1750,90,30,8,86,-11
"AM (L), ST (C)",40.90075290896646,16,15,15,2256,7.13,7,13,15,14,8,3300,106,19,10,87,-10
D (C),36.63791923340178,16,16,14,2079,6.67,12,13,14,13,6,3950,119,6,13,158,-8
M/AM (C),40.99657768651608,12,13,13,2421,6.89,13,17,12,12,8,2500,96,14,12,86,-13
GK,42.275154004106774,8,7,8,0,0.0,6,9,5,9,6,600,60,10,13,86,-12
D (C),39.52908966461328,14,13,16,1443,6.75,14,14,16,12,11,5850,137,9,18,158,-19
"DM, M (C)",36.09582477754962,13,14,12,1220,6.95,4,13,14,15,17,1650,88,5,15,86,-11
"DM, M (C)",39.044490075290895,13,17,12,2581,6.86,10,12,11,12,13,1750,90,5,8,86,-10
GK,35.493497604380565,13,17,14,3510,6.86,8,8,7,11,5,3400,118,8,12,104,-4
GK,40.99110198494182,16,10,15,2430,6.87,10,11,12,11,11,2150,98,26,12,94,-11
"DM, M (C)",37.14442162902122,19,17,16,2993,6.99,13,17,15,14,8,5600,121,36,11,120,-10
"DM, M/AM (C)",36.81587953456537,17,16,17,3046,6.96,16,16,17,13,8,6000,140,14,18,158,-11
D/WB/M (RL),37.437371663244356,16,16,12,2007,6.7,13,15,13,15,16,3000,115,35,14,130,-11
GK,36.407939767282684,16,12,13,270,6.93,8,6,11,10,5,1750,82,8,12,94,-7
"AM (RL), ST (C)",36.4517453798768,12,14,17,34,6.6,9,12,9,9,8,1950,91,11,15,94,-13
"DM, M (C)",36.271047227926076,17,16,13,2939,7.18,15,15,16,12,5,2750,105,8,12,94,-8
"AM (RLC), ST (C)",36.48459958932238,11,12,16,1971,6.63,9,8,9,12,8,3000,108,10,15,104,-10
GK,36.61875427789185,15,13,12,3067,6.86,12,13,14,12,10,4500,122,0,8,158,-7
AM (RL),35.04175222450377,16,13,10,2348,6.84,12,11,10,13,11,2500,100,15,15,94,-9
"D (C), DM, M (C)",39.455167693360714,20,13,15,989,6.79,16,19,15,13,10,5500,130,6,15,173,-17
ST (C),37.21286789869952,18,14,15,2297,6.76,15,14,12,12,5,5250,121,22,14,147,-15
"AM (RLC), ST (C)",34.809034907597535,15,11,10,3007,7.21,11,10,9,11,11,5100,132,18,13,87,-10
GK,41.60164271047228,14,12,6,1530,6.48,14,10,12,9,7,3000,110,5,8,73,-12
D (C),40.11225188227242,17,13,16,3420,6.77,14,16,14,17,10,3500,117,16,11,120,-10
GK,39.98631074606434,19,19,8,0,0.0,10,15,13,14,9,5000,120,23,19,173,-14
GK,41.27857631759069,10,13,12,2700,6.61,12,9,13,12,7,2300,94,8,8,80,-12
"DM, M (C)",40.98015058179329,20,16,14,3255,6.86,16,20,14,14,2,2300,93,33,8,80,-11
"AM (R), ST (C)",38.72689938398357,15,16,14,0,0.0,15,14,13,10,12,1900,78,44,6,80,-11
GK,39.43874058863792,12,13,15,0,0.0,10,12,12,13,4,3250,105,30,18,160,-11
GK,37.4757015742642,15,10,9,0,0.0,13,8,7,8,11,3250,105,40,12,160,-11
GK,39.64955509924709,17,17,13,0,0.0,14,16,15,11,10,5000,129,7,18,160,-16
GK,34.332648870636554,16,14,10,0,0.0,12,15,11,15,9,3750,109,16,9,160,-7
GK,35.24709103353867,16,14,11,270,6.67,13,14,11,16,13,5400,123,29,14,185,-3
GK,34.40109514031485,10,8,16,2880,6.71,12,6,11,13,6,5000,120,12,18,160,-4
"AM (L), ST (C)",34.42847364818618,13,12,14,1078,6.93,11,10,13,8,11,4400,125,12,15,160,-11
"DM, M/AM (C)",35.80287474332649,16,13,16,1085,6.73,13,10,12,18,13,4500,114,36,12,160,-11
"DM, M (C)",35.14305270362765,12,19,12,1891,6.95,15,14,14,14,10,4750,110,20,15,96,-11
D/WB (L),34.38740588637919,9,5,5,3264,6.86,8,7,10,11,10,4250,109,21,11,110,-11
D (RC),33.89733059548254,13,15,9,2895,6.74,11,12,12,8,4,3250,101,2,8,110,-10
"AM (C), ST (C)",34.12457221081451,12,12,14,1904,6.77,11,12,14,10,6,4250,110,11,10,160,-11
"DM, M (C)",38.31895961670089,13,7,9,3332,7.14,14,7,12,12,8,4650,108,28,14,87,-12
"D/WB (R), DM, M (C)",33.02395619438741,9,13,14,1272,6.75,10,12,10,12,9,4750,114,11,13,160,-12
D/WB/M (L),32.84325804243669,14,6,15,0,0.0,10,13,12,15,6,4600,130,4,18,160,-11
"D (RLC), WB (R), DM",33.80150581793292,15,11,12,2685,6.91,13,11,13,12,14,3500,106,17,15,110,-10
"DM, M (C)",41.01848049281314,15,14,13,352,6.82,13,12,14,15,7,1850,84,32,14,80,-11
"D (RC), WB (R)",39.1895961670089,12,13,11,2014,6.83,14,9,13,11,7,1750,95,7,5,66,-11
"D (C), DM, M (C)",39.455167693360714,15,16,15,1620,6.76,14,15,12,12,5,3750,110,25,6,91,-11
"DM, M (C)",36.17796030116359,15,15,12,2880,6.88,14,12,12,11,6,3750,123,6,10,117,-12
"DM, M/AM (C)",37.100616016427104,17,15,13,2939,6.92,16,14,16,8,8,5000,121,19,12,160,-14
D (C),34.26967830253251,20,20,18,497,6.76,15,14,16,15,11,6250,140,15,19,173,-4
ST (C),37.39082819986311,17,16,16,21,7.7,17,19,14,14,15,5800,127,49,12,178,-15
AM (LC),35.37850787132101,14,15,15,49,6.6,14,14,11,16,12,6000,131,30,10,173,-13
M/AM (C),35.18412046543463,16,14,8,2789,6.81,14,12,16,10,6,5500,134,8,12,178,-5
D/WB/M (L),36.78302532511978,19,19,15,1583,6.93,12,12,12,17,12,4250,119,20,16,120,-4
D (C),36.29568788501027,18,16,13,3415,6.72,12,11,12,14,12,4750,126,24,13,173,-5
D (RC),37.95482546201232,14,17,11,2502,6.85,12,13,13,12,8,3750,103,32,8,73,-10
"AM (RL), ST (C)",31.307323750855577,10,2,10,21,6.6,5,12,7,8,11,2250,92,16,12,110,-10
D (C),35.24435318275154,13,15,11,0,0.0,11,13,12,12,5,3000,89,11,5,80,-11
D (C),35.7700205338809,4,13,11,2055,6.64,13,12,13,10,5,4750,125,3,14,120,-16
GK,35.162217659137575,14,12,12,4260,6.97,14,12,15,10,5,4500,103,20,12,80,-4
D/WB (R),35.34839151266256,18,14,15,2323,6.75,11,10,15,12,5,4250,97,18,12,80,-6
D/WB (R),35.95893223819302,14,13,13,2801,7.02,12,12,12,8,7,2450,93,21,8,80,-11
D/WB/M (R),35.110198494182065,18,18,18,1207,6.76,12,14,14,13,11,6100,127,17,16,173,-8
GK,37.58521560574949,13,8,12,0,0.0,7,13,10,15,11,3700,105,15,12,173,-11
"DM, M/AM (C), ST (C)",33.72210814510609,18,17,11,1892,6.73,13,12,14,11,13,4400,126,9,14,173,-7
D (C),34.81998631074607,18,18,13,3102,6.69,13,10,13,12,5,2250,94,15,7,80,-4
GK,35.24161533196441,14,13,12,0,0.0,8,11,10,15,5,1150,93,0,13,80,-3
ST (C),36.48733744010951,16,15,16,2331,6.83,15,14,15,14,8,2800,96,24,6,80,-11
"WB (R), M (RC), AM (R)",34.795345653661876,15,15,13,664,6.82,12,14,12,14,9,1700,97,5,10,80,-11
D/WB/M (R),37.87816563997262,16,17,13,3052,6.73,13,11,13,11,8,3400,109,5,7,120,-9
"DM, M (RC)",34.893908281998634,15,16,14,2930,6.85,15,15,15,5,5,3200,92,23,9,80,-7
GK,34.08350444900753,15,12,10,0,0.0,12,12,13,8,11,2800,96,22,6,120,-4
ST (C),34.47775496235455,16,13,13,2652,6.87,11,12,9,13,7,3300,102,12,5,80,-6
AM (RLC),38.119096509240244,14,13,10,0,0.0,10,13,13,12,14,3550,97,40,5,80,-10
D (C),34.17932922655715,11,13,13,3443,6.98,10,12,13,12,6,4250,105,30,14,80,-11
ST (C),32.99931553730322,15,16,14,3201,6.94,13,10,15,12,13,4000,101,24,10,80,-6
"D (RC), WB (R)",34.81177275838467,20,16,16,3197,6.69,14,16,16,13,10,5750,131,15,10,173,-3
"D (RC), WB/M (R)",33.45927446954141,14,15,11,1614,6.83,10,15,12,14,6,2500,100,10,12,80,-9
D (RC),33.06776180698152,13,13,13,15,0.0,10,12,12,12,13,3950,115,15,17,120,-6
"D (C), DM, M (C)",35.854893908282,16,15,11,2720,6.84,13,12,13,12,8,2550,99,25,7,80,-5
ST (C),35.60027378507871,16,16,17,2796,7.09,12,13,13,12,8,4000,104,18,6,80,-10
M/AM (RC),39.290896646132786,16,14,13,23,6.7,13,12,15,11,7,4100,124,11,13,87,-16
ST (C),37.379876796714576,15,15,8,372,6.95,11,11,13,10,7,4000,110,20,9,87,-11
ST (C),37.86721423682409,18,13,13,130,6.77,13,13,13,10,9,5250,120,36,14,116,-11
D (LC),37.90280629705681,9,6,11,2784,6.94,12,11,11,11,10,2000,90,25,8,73,-12
GK,38.34360027378508,8,14,11,3060,6.61,12,10,12,12,13,2850,107,23,8,73,-11
"M/AM (C), ST (C)",36.97741273100616,15,14,14,84,6.67,13,9,12,15,11,5800,131,44,18,178,-20
"M (C), AM (RC), ST (C)",38.78713210130048,7,10,12,2750,6.91,10,9,13,10,11,2250,95,45,8,73,-12
D/WB/M/AM (L),33.1937029431896,10,13,8,2741,6.58,9,11,10,11,12,3450,109,11,9,87,-10
"D/WB/M/AM (R), ST (C)",33.75496235455168,8,12,10,2193,6.59,14,9,10,13,7,5250,105,35,9,87,-12
ST (C),38.110882956878854,12,12,12,2223,6.98,15,12,11,14,8,2650,103,2,10,73,-11
M/AM (RLC),37.03764544832307,16,14,12,2928,7.11,14,13,13,8,10,3600,102,28,9,73,-11
"DM, M/AM (LC)",37.57700205338809,14,14,13,1717,6.87,13,13,14,11,8,3650,113,12,11,116,-14
M/AM (C),35.474332648870636,11,10,17,1421,6.78,10,10,13,6,17,4000,110,25,9,116,-11
"DM, M (C)",36.80766598220397,10,11,11,1594,6.97,12,12,15,13,14,1600,82,33,8,73,-11
"D (C), DM",36.3668720054757,18,14,10,2278,6.76,13,14,16,12,11,2700,94,35,8,73,-7
"D (RLC), WB (R), AM (C)",36.134154688569474,13,10,11,2985,6.79,4,11,14,12,8,4400,128,4,13,116,-18
"M (C), AM (RLC)",35.07186858316222,17,4,11,3197,6.9,11,14,14,11,4,5000,130,1,12,178,-8
"M/AM (R), ST (C)",34.247775496235455,11,10,13,1105,6.75,6,12,10,14,7,1750,85,16,10,73,-12
"DM, M (C)",35.81108829568789,14,12,11,2901,7.04,12,12,11,14,13,2850,107,13,9,87,-11
D (RLC),35.05544147843943,16,13,12,3042,6.7,14,12,13,5,13,4350,117,17,15,178,-4
AM (RLC),35.931553730321696,20,20,20,3169,7.0,19,15,14,17,10,6300,138,27,18,173,-4
"DM, M (C)",37.22655715263518,10,17,12,2759,6.73,8,11,12,11,13,2550,101,3,10,73,-11
"DM, M (C)",34.33538672142368,12,12,10,2973,6.99,11,12,15,15,14,2750,105,35,13,87,-11
GK,36.47638603696099,12,15,14,240,6.75,12,13,15,17,10,5250,135,15,16,178,-7
GK,38.11362080766598,13,6,12,2655,6.78,7,12,13,8,12,2900,98,5,15,73,-11
"DM, M/AM (C)",39.19780971937029,16,11,12,3299,7.11,15,10,15,10,6,3750,115,5,10,87,-11
ST (C),34.521560574948666,9,6,9,1318,6.76,14,14,12,9,6,2000,90,40,8,91,-12
"DM, M (C)",36.276522929500345,15,15,12,2106,6.82,12,10,12,14,9,1250,85,15,5,91,-11
D (C),35.063655030800824,16,16,15,54,6.7,14,13,12,15,10,5500,125,30,14,178,-11
"D (RC), WB (R), DM",36.15058179329227,15,15,12,2246,6.87,9,12,11,10,4,1500,95,10,9,91,-11
ST (C),35.19780971937029,10,12,8,1466,6.8,13,13,9,13,15,3000,57,67,9,46,-2
"AM (C), ST (C)",56.34770704996578,20,17,15,0,0.0,16,18,14,17,4,700,69,89,10,104,-14
"DM, M (C)",34.46406570841889,14,14,12,2014,6.73,14,13,9,12,4,2750,85,52,9,72,-10
GK,40.446269678302535,18,15,15,2460,6.74,10,13,10,11,13,3000,83,37,10,86,-10
GK,42.888432580424364,16,14,11,2160,6.88,13,11,13,12,10,2650,108,24,12,86,-12
GK,42.27241615331965,20,19,19,0,0.0,18,15,15,13,12,3750,110,20,12,173,-11
GK,41.86447638603696,12,13,12,463,6.78,14,13,14,14,11,1600,67,59,12,85,-11
"M (C), ST (C)",42.37371663244353,14,12,7,0,0.0,12,10,11,8,7,600,55,7,11,85,-10
"DM, M (C)",33.39082819986311,14,16,17,1855,6.62,12,13,12,12,14,2250,111,9,15,134,-5
D (LC),33.13347022587269,13,13,13,1168,6.81,11,10,13,10,17,3000,83,37,7,85,-10
ST (C),34.06981519507187,19,15,10,2685,6.86,11,16,13,13,5,3000,97,23,6,85,0
M/AM (RL),35.90417522245038,16,12,6,2097,6.72,12,11,12,15,11,2400,89,21,7,85,-11
ST (C),32.889801505817935,14,14,11,69,6.55,12,9,8,5,14,2500,81,34,7,72,-8
D (LC),33.779603011635864,16,14,12,3356,6.74,13,11,16,12,8,6000,140,3,11,185,-6
GK,38.691307323750856,8,11,12,0,0.0,12,12,12,11,18,2000,70,65,16,85,-12
D (C),35.49623545516769,15,15,14,970,6.71,14,14,17,11,16,6000,139,16,17,185,-10
GK,37.80698151950719,12,13,10,90,6.5,12,3,14,16,4,1000,50,30,2,46,-11
GK,37.17453798767967,15,13,11,0,0.0,15,12,15,12,9,3500,82,48,9,72,-11
ST (C),36.884325804243666,12,16,17,0,0.0,12,9,10,8,6,3000,94,41,15,107,-11
GK,36.43805612594114,13,13,13,0,0.0,12,11,11,13,7,5000,110,28,13,185,-7
GK,33.399041752224505,13,12,10,360,6.92,11,11,11,12,3,4000,107,27,13,134,-7
"D (RC), WB (R)",35.50992470910335,18,14,14,3122,6.74,12,12,13,14,19,2850,102,26,20,107,-6
"DM, M (C)",31.463381245722108,14,9,8,3120,6.94,14,14,8,12,6,3500,100,25,10,85,-6
GK,34.36824093086927,12,12,10,0,0.0,10,8,11,10,12,2000,90,30,18,134,-5
"AM (RL), ST (C)",34.27241615331965,12,10,11,510,7.01,12,12,10,9,9,3500,97,43,11,107,-11
D (C),34.2943189596167,16,11,11,2462,6.7,12,8,12,6,10,1250,81,6,7,72,-8
"AM (R), ST (C)",33.2621492128679,9,13,17,1462,6.51,14,13,9,14,5,3750,108,19,12,107,-12
"DM, M (RLC)",33.80971937029432,10,15,10,169,6.78,11,10,9,11,5,1950,104,6,12,96,-10
GK,41.451060917180016,11,8,6,0,0.0,10,5,9,4,8,850,50,25,5,46,-11
D (C),39.644079397672826,13,15,13,460,6.6,11,12,12,9,6,1000,50,25,10,46,-11
"D/WB (RL), DM, M (C)",37.492128678986994,20,19,17,1837,6.78,15,17,14,18,14,6250,141,16,18,185,-9
GK,32.87337440109514,17,14,13,3780,6.9,8,13,12,7,8,5600,145,0,18,185,-3
ST (C),31.57015742642026,16,15,11,51,6.6,13,15,11,15,9,5500,130,8,13,185,0
GK,40.26283367556468,11,9,11,0,0.0,8,12,8,7,5,400,35,24,3,46,-11
GK,37.828884325804246,15,13,15,0,0.0,13,8,12,13,8,4750,118,30,20,185,-11
"DM, M (C)",37.50034223134839,5,13,11,3432,7.11,12,6,9,7,15,1800,81,29,12,46,-13
"D/WB (L), DM, M (LC)",34.770704996577685,15,10,16,3525,6.85,12,10,11,13,8,2250,94,26,15,85,-8
GK,37.01300479123888,17,14,8,3690,6.8,14,12,17,10,6,2500,66,45,3,46,-8
GK,37.215605749486656,17,13,10,0,0.0,16,11,14,13,6,5750,126,24,17,185,-10
GK,38.562628336755644,14,12,13,0,0.0,12,9,10,11,4,2100,55,55,10,85,-12
"DM, M (C)",32.85420944558521,7,18,17,3544,6.82,16,14,16,11,7,1750,89,16,7,85,0
"DM, M (C)",38.195756331279945,18,14,14,2863,6.73,12,14,15,12,6,3000,96,29,9,107,-10
D (C),36.89253935660506,15,15,12,817,6.66,14,13,13,12,11,3000,93,39,8,85,-11
D (C),35.87132101300479,13,17,10,2108,6.83,14,13,10,12,6,3250,83,3,7,72,-11
GK,37.69199178644764,10,10,9,90,6.8,8,9,10,4,5,1650,68,41,11,72,-11
D (C),37.99315537303217,18,12,13,2174,6.64,13,14,10,11,15,2400,95,25,15,85,-10
D (LC),37.464750171115675,16,8,12,4140,6.83,11,14,11,3,10,2500,79,42,9,46,-11
D (C),38.299794661190965,20,17,16,2481,6.62,16,13,14,13,14,3500,98,42,8,107,-9
GK,37.782340862423,16,14,14,1526,6.94,12,13,10,15,11,3500,85,51,7,72,-11
D/WB/M (RL),37.98220396988364,20,14,13,489,6.59,15,12,13,16,5,5600,130,26,18,185,-14
"DM, M (C)",36.511978097193705,11,12,16,0,0.0,13,16,11,12,14,4000,96,47,17,185,-11
"AM (C), ST (C)",35.592060232717316,14,14,13,3459,6.75,10,11,12,10,13,4500,116,19,10,85,-8
D (C),36.936344969199176,17,18,9,3013,6.58,11,8,12,18,10,2200,64,0,3,46,-9
GK,36.6570841889117,10,15,17,3240,6.79,12,15,12,14,4,6000,140,10,18,147,-8
D (LC),39.123887748117724,16,18,12,3638,6.75,16,13,16,10,11,2750,97,23,11,85,-9
WB/M/AM (RL),35.30732375085558,10,10,9,412,6.8,12,10,8,5,12,1800,75,40,11,72,-11
GK,35.49075975359343,12,12,12,4140,6.8,12,8,13,10,2,2250,93,22,8,85,-3
"D (RC), WB (R)",36.558521560574945,15,14,11,90,6.7,9,13,13,12,17,3000,106,19,10,134,-11
"D (L), M (C)",36.498288843258045,12,13,12,915,6.87,10,10,14,12,12,1900,80,23,11,85,-11
GK,36.29568788501027,18,12,12,0,0.0,14,10,12,10,7,1750,70,42,13,107,-2
D (C),36.36413415468857,11,16,10,255,6.63,13,12,12,11,8,2500,114,10,15,134,-11
GK,37.05681040383299,16,15,12,1215,6.76,12,11,9,10,3,2250,90,30,10,85,-10
GK,38.05612594113621,14,14,7,630,6.97,5,12,13,12,5,2500,76,12,9,85,-10
D (RC),36.747433264887064,19,18,13,1504,6.62,10,11,12,15,10,3500,87,48,6,85,-7
GK,35.61670088980151,10,14,11,180,6.75,9,15,9,7,6,3000,114,14,18,134,-8
DM,36.07939767282683,10,13,7,3442,6.72,12,12,14,11,4,2250,75,38,4,46,-12
GK,36.780287474332646,15,14,12,0,0.0,13,8,12,9,5,2250,88,27,12,85,-8
GK,35.09924709103354,14,15,11,0,0.0,12,12,11,6,6,2500,86,32,17,107,-5
GK,36.68993839835729,18,17,13,4230,6.96,13,15,14,1,5,4000,117,28,13,134,-1
GK,36.035592060232716,16,17,13,4500,6.62,13,14,14,16,4,5500,119,31,14,134,-2
"DM, M (C)",36.709103353867214,18,15,15,750,6.67,13,12,10,14,3,2500,87,28,6,85,-7
GK,41.040383299110196,15,13,13,3960,6.72,13,15,15,8,5,1000,68,7,4,46,-11
D/WB (R),35.62217659137577,5,15,15,284,6.38,11,8,12,12,14,2500,68,52,11,72,-12
